Prix_de_vente,Etage,Age,Aire_Batiment_m2,Aire_Lot_m2,Garage,Amenagement_paysager
116000,1,31,"88,6","88,6",0,1
490000,2,32,"94,8","238,2",0,1
630000,2,28,"124,9","305,8",1,0
640000,2,30,"140,9","300,4",1,1
239000,1,31,"88,6","88,6",0,1
575000,1,35,"108,9","555,4",1,1
437000,1,70,"95,0","464,5",1,1
548000,2,31,"110,4","286,2",1,1
585000,1,33,"109,9","441,3",1,1
489900,1,34,"89,2","557,9",0,1
605000,1,34,"89,2","526,6",0,1
615000,1,34,"89,1","465,8",0,1
775000,2,34,"174,3","479,8",1,1
722500,1,31,"156,4","526,2",1,1
778000,2,33,"205,1","464,5",1,1
585000,1,28,"129,6","455,2",1,1
775000,1,33,"188,0","464,5",1,1
601500,1,75,"184,2","713,7",1,1
457900,1,58,"94,6",602,0,1
555000,1,58,"105,1","613,2",0,1
460000,1,59,"91,8","613,2",0,1
800000,2,56,"188,2","665,7",0,1
452000,2,30,"95,1",259,0,1
385000,1,50,"89,2","466,1",0,1
805000,1,9,"146,0","507,3",0,1
800000,2,5,"192,6","326,9",0,1
411500,1,62,"96,7",418,0,1
590000,1,70,"98,0","514,6",0,1
499000,1,72,"118,5",749,1,1
1100000,1,125,"155,2","1334,6",1,1
585000,2,89,"159,8","3289,4",0,0
725000,1,44,"116,3","1028,7",0,1
815000,2,90,"178,3","1875,7",0,0
555000,1,120,"201,3","824,3",0,1
268000,2,21,"104,5",668,0,1
425000,1,80,"73,2","633,5",0,0
820000,1,44,"116,1","1028,7",0,1
599900,1,56,"114,5","628,9",0,1
755000,1,67,"102,6","733,9",0,0
614900,2,31,"135,2","384,1",1,0
423000,1,31,"67,1","459,3",0,0
350000,1,31,"67,1","451,2",0,1
475000,1,31,"67,1","451,2",0,1
550000,2,32,"113,5",265,1,1
598500,2,31,"124,1","279,9",1,1
599000,2,28,"121,2","279,9",1,1
755000,2,16,"218,4","396,2",0,1
550000,2,32,"109,7","351,7",1,1
532000,2,31,"119,8","307,8",1,0
570000,1,51,"84,8","483,2",0,1
550000,1,51,"81,8","483,2",0,1
972500,2,23,"240,4","523,7",1,1
870000,2,23,"213,5","525,1",1,1
480000,2,45,"118,5","343,4",1,0
410000,2,28,"155,7","449,8",1,1
900000,2,23,"198,5","453,5",1,1
786000,2,23,"137,1","352,9",0,1
899000,2,23,"174,9","377,5",1,1
1065000,2,25,"209,6","572,6",1,0
972500,2,23,"240,4","523,7",1,1
810000,2,36,"191,5","487,6",0,1
660000,2,17,"138,0","479,6",1,1
637000,2,17,"118,6","324,6",1,1
835000,2,19,"207,2","349,3",1,1
460000,1,31,"53,0",244,0,1
846000,2,24,"185,2","779,1",1,1
625000,2,38,"155,4","453,4",1,1
795000,2,24,"171,0","712,1",0,1
622800,2,38,"133,5",385,0,1
1450000,2,16,"260,8","591,3",1,1
735000,2,38,"184,2","385,7",1,1
790000,2,37,"160,8","645,6",1,1
1077500,2,17,"231,7",560,1,1
508000,2,48,"113,5","307,4",0,1
990000,2,24,"192,7","464,5",1,1
510000,2,33,"113,8","464,7",0,0
660000,2,28,"149,3","373,3",1,1
875000,1,29,"171,7","714,4",1,1
892500,2,36,"185,5","692,9",1,1
735000,2,29,"174,0",327,1,0
740000,1,29,"144,9","914,1",1,1
1060000,2,14,"232,8","542,5",1,1
805000,2,18,"208,5","449,1",1,1
675000,2,75,"151,9","1414,1",0,1
555000,2,32,"102,2","262,2",1,1
942000,2,11,"231,3","461,6",1,1
855000,2,18,"191,9","461,6",1,1
798000,2,18,"172,4","385,4",1,1
585000,1,41,"100,9","511,9",0,1
781500,1,39,"131,3","464,5",1,1
200000,2,120,"96,7","402,9",0,0
502000,1,41,"93,0","533,6",0,1
495000,1,63,"111,5","464,5",0,1
535000,2,42,"130,1","334,7",0,1
660000,1,41,"102,0","459,5",1,1